ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
82629,Praça Bom Jesus da Boa Morte,311,,Centro,48930-000,Curaçá,BA,"-8.984993,-39.900037",False
82630,Avenida Engler,s/n,Campus II da PUC,Jardim Mariliza,74885-460,Goiânia,GO,"-16.7375130790088,-49.2114329338074",False
82631,Rua Dom Pedro II,100,,Fepasa,13690-000,Descalvado,SP,"-21.9006992,-47.6235972",False
82632,Rua Batatais,1038,,Vila Coronal Antônio J. Sobrinho,14400-310,Franca,SP,"-20.5423959,-47.4085692",False
82633,Praça Santa Rita,163,,Centro,37860-000,Nova Resende,MG,"-21.129091,-46.416176",False
82634,Rua Miguel Pereira,s/n,3º Distrito de Paraíba do Sul,Inconfidência,25850-000,Paraíba do Sul,RJ,"-22.151248,-43.286153",False
82635,Rua XV de Novembro,791,,Centro,89107-000,Pomerode,SC,"-26.744386,-49.174443",False
82636,Rua Dias da Rocha Filho,625,,Alto da Rua XV de Novembro,80040-050,Curitiba,PR,"-25.425708,-49.250781",False
82637,Rua Duque de Caxias,1029,,Centro Histórico,90010-282,Porto Alegre,RS,"-30.0335042,-51.2311908216198",False
82638,Praça do Oceanográfico,191,,Cidade Universitária/Butantã,05508-120,São Paulo,SP,"-23.560007,-46.731808",False
82639,Rua Rubert,950,Ao lado do Centro Administrativo,Centro,98125-000,Fortaleza dos Valos,RS,"-28.799082,-53.225435",False
82640,Avenida Borges de Medeiros,1501,Sala 10,Não Informado,90119-900,Porto Alegre,RS,"-30.040328,-51.231075",False
82641,Rua Acelino Almeida,120,,Centro,64535-000,Inhuma,PI,"-6.665399,-41.704506",False
82642,Rua Doutor Cassiano,130,,Centro,32017-230,Contagem,MG,"-19.9150149,-44.0823088",False
82643,Rua Prudente de Morais,711,Centro,Centro,35020-460,Governador Valadares,MG,"-18.8578792,-41.94283",False
82644,Avenida Nicolau João Abdalla,5260,,Salto Grande,19920-000,Americana,SP,"-22.6954356,-47.2888581",False
82645,Avenida Câmara Cascudo,s/n,,Ribeira,59028-280,Natal,RN,"-5.7814769,-35.2062443",False
82646,Praça Percy Schreiner,487,,Centro,85710-000,Santo Antônio do Sudoeste,PR,"-26.074184,-53.72562",False
82647,Avenida Ministro Salgado Filho,7000,,Barra Nova,28990-000,Saquarema,RJ,"-22.932067,-42.55811",False
82648,Estrada Geral do Morro da Cruz,s/n,,Centro,88270-000,Nova Trento,SC,"-27.28207575432786,-48.92373701557516",False
82649,Praça Cícero de Miranda,71,Lago dos Patos,Vila Galvão,07074-041,Guarulhos,SP,"-23.4519524639535,-46.5646129846573",False
82650,"Rodovia BR 376, km 515",s/n,,Não Informado,84100-000,Ponta Grossa,PR,"-25.235048,-50.011819",False
82651,Praça Francisco Blanc,s/n,,Centro,28495-000,Aperibé,RJ,"-21.628567,-42.103029",False
82652,Rua Roberto Simonsen,305,,Centro Educacional,19060-900,Presidente Prudente,SP,"-22.120357,-51.405357",False
82653,Praça Alzira Soriano,s/n,,Centro,59544-000,Jardim de Angicos,RN,"-5.65275741213082,-35.969860553741455",False
82654,Rua das Palmeiras,55,,Botafogo,22270-070,Rio de Janeiro,RJ,"-22.951678,-43.191353",False
82655,SQN 413 e SQN 414,s/n,,Asa Norte,70877-000,Brasília,DF,"-15.747608,-47.884709",False
82656,Rua do Riachuelo,s/n,Armazém 4,Centro,96200-390,Rio Grande,RS,"-32.030675,-52.088815",False
82657,Rua Arquias Cordeiro,1046,,Engenho de Dentro,20770-001,Rio de Janeiro,RJ,"-22.8948211,-43.2913652177111",False
82658,"Rodovia CE 090, km 3",s/n,,Zona Rural,60120-001,Caucaia,CE,"-3.70872638418001,-38.6409759521484",False
82659,Rua Francisco Getúlio Vargas,1130,,Petrópolis,95070-560,Caxias do Sul,RS,"-29.16337835,-51.1497345761319",False
82660,Praça Coronel Carlos Lyra,s/n,,Usina Serra Grande,57860-000,São José da Laje,AL,"-9.013199,-36.051821",False
82661,Rua Frei Vicente,3,,Pelourinho,40025-060,Salvador,BA,"-12.980197,-38.488651",False
82662,Rua Marechal Floriano,378,,Santa Teresinha,95500-000,Santo Antônio da Patrulha,RS,"-29.818759,-50.51755",False
82663,Gouveia Nóbrega,s/n,,Roger,58020-100,João Pessoa,PB,"-7.1153085,-34.8776268",False
82664,Rua Hermann Weege,111,,Centro,89107-000,Pomerode,SC,"-26.741924,-49.17229",False
82665,Rua Padre Luciano Maria Hussai,84,,Centro,85570-000,Cerro Azul,PR,"-24.822615,-49.254106",False
82666,Rua Rui Barbosa,336,,Centro,64001-090,Teresina,PI,"-5.096363,-42.813532",False
82667,Rua Valério Francisco,s/n,,Centro,12570-000,Aparecida (São Paulo),SP,"-22.8469023,-45.2316652",False
82668,Avenida República Rio-Grandense,216,,Santos Dumont,97547-000,Alegrete,RS,"-29.7946486,-55.7612327",False
82669,Rua Feliciano Lopes,19,,Centro,39810-000,Caraí,MG,"-17.186629,-41.700753",False
82670,Rua 29 de Maio,913,,Centro,79290-000,Bonito (Mato Grosso do Sul),MS,"-21.1266662,-56.4855708",False
82671,Rua Alexandre Moreira,291,Fundação Itanhanduense de Educação e Cultura,Centro,37464-000,Itanhandu,MG,"-22.2934917,-44.9359662",False
82672,Rua Coronel Alberto Schmitt,518,,Centro,99470-000,Não-Me-Toque,RS,"-28.455263,-52.81868",False
82673,Rua Horácio Cardoso,370,,Planalto,95670-000,Gramado,RS,"-29.385035,-50.875535",False
82674,Rua Doutor Batista de Moraes,455,,Centro,69930-000,Xapuri,AC,"-10.64863,-68.492378",False
82675,Avenida João Pinheiro,342,,Funcionários,30130-180,Belo Horizonte,MG,"-19.9280665,-43.9371147",False
82676,Rua Coronel Francisco Nunes Cavalcante,s/n,,Centro,62748-000,Capistrano,CE,"-4.45607,-38.905196",False
82677,Rua Olinda,624,,Centro,58388-000,Alagoa Grande,PB,"-7.042916,-35.635129000000006",False
82678,Praça Ary Parreiras,156,,Centro,28460-000,Miracema,RJ,"-21.4126072,-42.1964769",False
82679,Travessa Professor Manoel Soares,217,,Ipoema,35905-000,Itabira,MG,"-19.624415,-43.231643",False
82681,Rua do Egito,144,Prédio Solar dos Veras,Centro,65010-190,São Luís,MA,"-2.52661018702373,-44.3030762672424",False
82682,Rua Senhor dos Passos,248,1º andar,Centro Histórico,90020-180,Porto Alegre,RS,"-30.029084,-51.223273",False
82683,Rua Manoel Thiago de Castro,109,,Centro,88501-020,Lages,SC,"-27.813883,-50.328836",False
82684,Rua Silvio Manfroi,s/n,,Centro,99180-970,Mato Castelhano,RS,"-28.280508,-52.193749",False
82685,Rua dos Coqueiros,19,,Jardim das Palmeiras,78080-160,Cuiabá,MT,"-15.601408,-56.097898",False
82686,Osvaldo Aranha,2270,Complexo da Estação da Cultura,Centro,92511-715,Montenegro,RS,"-29.681712472485202,-51.45332296994225",False
82687,Rua da Estação,1221,,Centro,95730-000,Barão,RS,"-29.3756016,-51.499596800000006",False
82688,Rua das Trincheiras,275,,Centro,58011-000,João Pessoa,PB,"-7.125598,-34.88469",False
82689,Avenida Mato Grosso,65,,Centro,78320-000,Juína,MT,"-11.373157,-58.748823",False
82690,Rua Alferes Raimundo,334,,Vila Industrial,13035-020,Campinas,SP,"-22.911889877036618,-47.075316309928894",False
82691,Rua Bela Vista do Cabral,121,Prédio do Tribunal Regional do Trabalho (TRT),Nazaré,40055-001,Salvador,BA,"-12.970997,-38.500437",False
82692,Avenida Borges de Medeiros,427,,Cidade Alta,95500-000,Santo Antônio da Patrulha,RS,"-29.822542,-50.511396",False
82693,Rua da Conceição,s/n,,Distrito de Mata Virgem,58499-000,Umbuzeiro,PB,"-7.6951247,-35.66323730000001",False
82694,Campus Universitário Professor José Aloísio de Campos - Avenida Marechal Rondon,s/n,"CCBS, DBI, Bloco B, sala 20",Jardim Rosa Elze,49100-000,São Cristóvão,SE,"-10.923420718845,-37.1021819114685",False
82695,Praça Professor Porcino Rodrigues,69,,Centro,06850-095,Itapecerica da Serra,SP,"-23.7144395,-46.8497052",False
82696,Rua Doutor Pontes Neto,800,Edifício do Tribunal Regional Eleitoral do Ceará,Engenheiro Luciano Cavalcante,60813-600,Fortaleza,CE,"-3.7812666103010653,-38.485095857670686",False
82697,Rua Luís Granjeiro,73,,Centro,63270-000,Porteiras,CE,"-7.523053,-39.114386",False
82698,Avenida Rio Branco,823,,Centro,97010-423,Santa Maria (Rio Grande do Sul),RS,"-29.685605,-53.807627",False
82699,Praça Montevidéu,10,Paço dos Açorianos,Centro Histórico,90010-170,Porto Alegre,RS,"-30.02799655,-51.2286585703416",False
82700,Avenida Silas Pereira da Mota,s/n,Fazenda Ponte Alta,Parque Santana,27135-971,Barra do Piraí,RJ,"-22.470001,-43.812962",False
82701,Estrada dos Cunha,s/n,,Itapeva,95560-000,Torres,RS,"-29.369054,-49.817518",False
82702,Rua João Ramalho Cordeiro,s/n,,Cachoeira,61973-000,Maranguape,CE,"-3.8857258,-38.6815416",False
82703,Avenida Rio Branco,442,"Instituto Federal de Educação, Ciências e Tecnologia do Rio Grande do Norte",Cidade Alta,59025-003,Natal,RN,"-5.788927,-35.208212",False
82704,Entrada Porto da Prainha,s/n,4 km até o Parque,Não Informado,83350-000,Morretes,PR,"-25.439406,-48.918839",False
82705,Rua Newton Prado (“Montanha Russa”),53,,Centro,65010-400,São Luís,MA,"-2.5266637790530213,-44.30578529834747",False
82706,Avenida Otacílio Negrão de Lima,8000,,Pampulha,31365-450,Belo Horizonte,MG,"-19.8547913,-44.0049941",False
82707,Avenida Major Manoel Alves,s/n,Esquina com a Rua 16 de Julho,Setor Oeste,75380-000,Trindade (Goiás),GO,"-16.649387,-49.495142",False
82708,Rua XV de Novembro,143,,Centro,12327-060,Jacareí,SP,"-23.306385,-45.972848",False
82709,Rua Estância,228,,Centro,49010-180,Aracaju,SE,"-10.916038,-37.04989",False
82710,Povoado Poxim,s/n,Anexo Igreja São José. Poxim - AL 101 Sul,Não Informado,57230-000,Coruripe,AL,"-10.12806,-36.172058",False
82711,"Rodovia TO - 020, km 25",s/n,,Não Informado,,Palmas (Tocantins),TO,"-10.240388,-48.356187",False
82712,Rua General Bacelar,197,,Centro,96200-270,Rio Grande,RS,"-32.035375,-52.107587",False
82713,Rua Urbano Lunardelli,240,,Centro,86160-000,Porecatu,PR,"-22.755235,-51.377555",False
82714,Rua Antônio Pedro de Melo,30,Loja 04,Centro,35525-000,Rio Manso,MG,"-20.26705,-44.307291",False
82715,Avenida Doutor Lamartine P. de Avelar,1120,,Setor Universitário,75705-020,Catalão,GO,"-18.1550531,-47.9293642043822",False
82716,Rua São Miguel,s/n,,Centro,98905-000,Alegria,RS,"-27.834947,-54.056262",False
82717,Rua Terena,s/n,,Tiradentes,79041-014,Campo Grande (Mato Grosso do Sul),MS,"-20.470357,-54.569913",False
82719,"Estrada Teresópolis-Friburgo, km 20",s/n,Sítio São José dos Frades.,Bonsucesso,25995-290,Teresópolis,RJ,"-22.416958,-42.975608",False
82720,"Estrada do Jequitibá, km 45 da Rodovia RJ 116",s/n,,Boca do Mato,28680-000,Cachoeiras de Macacu,RJ,"-22.466297,-42.652762",False
82721,Rua Capitão Heitor Perdigão,10,,Centro,96200-970,Rio Grande,RS,"-32.0289266,-52.1059983",False
82722,Rua Tupiniquis,55,IEF - Regional Norte,Centro,39401-070,Montes Claros,MG,"-16.724903,-43.87343",False
82723,Praça Tomé de Souza,s/n,,Centro,40020-010,Salvador,BA,"-12.974457,-38.512879",False
82724,Rua Altino Serbeto de Barros,138,,Itaigara,40825-010,Salvador,BA,"-12.99834,-38.465128",False
82725,Rua dos Ingleses,118,,Bela Vista,01329-010,São Paulo,SP,"-23.560103,-46.647727",False
82726,Rua Francisco Gonçalves Morales,5882,,Centro,97870-000,Santo Antônio das Missões,RS,"-28.5128314,-55.2305903",False
82727,Saída para Córrego Santo Estêvão,s/n,,Zona Rural,29843-000,Vila Pavão,ES,"-18.6157453455849,-40.6028079986572",False
82728,Avenida Santos Dumont,3384,,Aldeota,60150-162,Fortaleza,CE,"-3.737789,-38.493965",False
82729,Avenida Roberto Silveira,s/n,,Centro,26900-000,Miguel Pereira,RJ,"-22.453357,-43.468015",False
82730,Rua João Lino,371,,Centro,13450-033,Santa Bárbara d'Oeste,SP,"-22.7555808,-47.4161862",False
82731,Avenida Paulista,37,,Bela Vista,01311-902,São Paulo,SP,"-23.5631043,-46.6543825",False
82732,Praça Meyerfreund,1,,Glória,29122-900,Vila Velha,ES,"-20.342194,-40.287846",False
82733,Rua das Marrecas,35,,Centro,20031-120,Magé,RJ,"-22.912141877508464,-43.178125619888306",False
82734,Rua Presidente Domiciano,195,,Ingá,24210-471,Niterói,RJ,"-22.903393,-43.127997",False
82735,Avenida Doutor Afonso Vergueiro,280,Ao lado da antiga Estação Ferroviária,Centro,18035-970,Sorocaba,SP,"-23.496069,-47.455565",False
82736,Rua Doutor Severino Ribeiro Cruz,s/n,,Centro,58400-258,Campina Grande,PB,"-7.2290752,-35.8808337",False
82737,Praça Rui Barbosa,694,,Centro,80010-030,Curitiba,PR,"-25.4369779,-49.2742451",False
82738,Travessa Padre Eutíquio,1309,,Batista Campos,66023-710,Belém (Pará),PA,"-1.457793,-48.494241",False
82739,Rua Prof José Idalino,122-B,Ao lado da paróquia / Igreja Católica,Centro,55695-000,Sairé,PE,"-8.32717626650363,-35.7094287872314",False
82740,Bom Jesus da Lapa,s/n,,Centro,47600-000,Bom Jesus da Lapa,BA,"-14.201237257961,-42.7905464172363",False
82741,Acesso à comunidade de Alto Caxixe e Forno Grande,s/n,,Zona Rural,29360-000,Castelo,ES,"-20.5166471,-41.0840505",False
82742,Rua Estados Unidos,1641,,Centro,87750-000,Alto Paraná,PR,"-23.1354468059129,-52.3252201080322",False
82743,Rua Tito Franco,183,,São João do Outeiro,66840-095,Belém (Pará),PA,"-1.2608559,-48.4634579",False
82744,Avenida Presidente Getúlio Vargas,2170,Ao lado da antiga Estação Ferroviária,Centro,86600-027,Rolândia,PR,"-23.3106161,-51.3705957",False
82745,Francisco Dantas,137,,Centro,59902-000,Francisco Dantas,RN,"-6.0886554,-38.1235709",False
82746,Praça dos Três Poderes,s/n,,Brasília,70070-200,Brasília,DF,"-15.8008398,-47.8613556059949",False
82747,Rua José Bonifácio,s/n,Final da rua da fábrica de gelo,Água Branca,11630-000,Ilhabela,SP,"-23.8231104,-45.3611094",False
82748,Rua Felipe Senador,18,,Centro,37450-000,Aiuruoca,MG,"-21.974096,-44.604643",False
82749,"QN 17, conjunto 01,",Lote 01 e 02,Escola Superior de Polícia Civil,Riacho Fundo II,71881-686,Brasília,DF,"-15.8847498041744,-48.0575412511826",False
82750,Avenida Europa,158,,Jardim Europa,01449-000,São Paulo,SP,"-23.5750335,-46.6778541",False
82751,Rua Alemanha,221,,Jardim Europa,01448-010,São Paulo,SP,"-23.5733142,-46.6766937",False
82752,Rua Major Bonifácio,82,,Centro,37795-000,Andradas,MG,"-22.070101,-46.5724391",False
82753,Rua Sá Fortes,55,,Centro,37260-000,Perdões,MG,"-21.090857,-45.089274",False
82754,Rua Orozinho Sampaio,s/n,,Centro,98740-000,Augusto Pestana,RS,"-28.517732,-53.988825",False
82755,Avenida Madre Leônia Milito,575,A 55 km do Centro de Londrina,Parque Guanabara,86050-270,Londrina,PR,"-23.3362672,-51.1687502",False
82756,Avenida Aristeu de Andrade,534,,Farol,57051-090,Maceió,AL,"-9.661312,-35.73107",False
82757,Avenida Pedro Jorge Melo e Silva,79,,Poço,57025-400,Maceió,AL,"-9.662518,-35.728189",False
82758,Rua Floriano Peixoto,281,,Centro,68005-280,Santarém,PA,"-2.418109,-54.712523",False
82759,Avenida Rio Branco,4516,,Centro,36026-500,Juiz de Fora,MG,"-21.782579,-43.344369",False
82760,Rua Conselheiro João Lourenço de Vasconcelos,58,,Centro,62320-000,Tianguá,CE,"-3.7300232,-40.99265109999999",False
82761,Rua Pedro Simplício,15,,Centro,59980-000,José da Penha,RN,"-6.3188107,-38.2857265",False
82762,Rua Ivair Lago,5520,,Borda do Campo,83420-000,Quatro Barras,PR,"-25.3893044,-49.0455233",False
82763,Avenida Coronel Sezefredo Fagundes,19100,,Jardim Cachoeira,02368-000,São Paulo,SP,"-23.2971156,-46.7610744",False
82764,Praça Tenente Coronel Mesquita,15,Casa da Cultura,Centro,11940-000,Jacupiranga,SP,"-24.749175,-48.060508",False
82766,Rua Frei Caneca,401,2º andar,Estácio de Sá,20211-020,Rio de Janeiro,RJ,"-22.9116104,-43.1951123",False
82767,Avenida Professor Moraes Rêgo,1235,,Cidade Universitária,50670-901,Recife,PE,"-8.0523305,-34.9450931",False
82768,Fernando Machado,2580,D,Passo dos Fortes,89805-902,Chapecó,SC,"-27.08236,-52.623075",False
82769,Avenida Getúlio Vargas,405,,Centro,89251-000,Jaraguá do Sul,SC,"-26.47982735,-49.0861342633489",False
82770,Rua Rui Brabosa,888,Em frente à loja Menegaro Irmãos Ltda.,Centro,88930-000,Turvo (Santa Catarina),SC,"-28.9278045,-49.6820346",False
82771,Avenida Rui Barbosa,305,,Prédio,14740-000,Viradouro,SP,"-20.870122,-48.302306",False
82772,Praça Coronel Salles,s/n,,Centro,13560-220,São Carlos (São Paulo),SP,"-22.01645285,-47.8903542005443",False
82774,Rua Carlos Huber,425,,Três Figueiras,91330-150,Porto Alegre,RS,"-30.034667,-51.170145",False
82775,Estrada Laécio Marson,140,"Sítio do Zé Bueno, Rua 1",Jerivá - Zona Rural,18550-000,Boituva,SP,"-23.2834536819957,-47.6735401153564",False
82776,Avenida Fernando Corrêa da Costa,559,Memorial da Cultura e da Cidadania Apolônio de Carvalho - 3° andar,Centro,79002820,Campo Grande (Mato Grosso do Sul),MS,"-20.4684454,-54.6176796",False
82777,"Beco Marechal Rondon, Portobras",5,,Portobras,69640-000,Tabatinga (Amazonas),AM,"-4.230608,-69.942254",False
82778,Avenida Horizontina,1876,,Centro,85930-000,Nova Santa Rosa,PR,"-24.469763,-53.955764",False
82779,Rua Dr Nereu Ramos,101,Sala 01,Centro,89245-000,Araquari,SC,"-26.3716169,-48.7236474",False
82780,Rua Sete de Setembro,s/n,,Centro,19700-000,Paraguaçu Paulista,SP,"-22.4268404,-50.5778087",False
82781,Rua Alameda Berilo Mota,s/n,,Centro,57370-000,Traipu,AL,"-9.9711659,-37.0036464",False
82782,Praça Walter Zumblick,s/n,,Centro,88701-001,Tubarão,SC,"-28.471811,-49.014864",False
82783,Praça Augusto César Miranda de Alencar,s/n,,JK Nova Capital,75114-030,Anápolis,GO,"-16.3419051160309,-48.9362490177155",False
82784,Rua Antônio Basílio,11,,Centro,59370-000,Acari,RN,"-6.4350403,-36.6408876",False
82785,Fazenda Anhumás,s/n,,Zona Rural,57800-000,União dos Palmares,AL,"-9.133791798864634,-36.14656448364258",False
82786,www.mfd.mus.br,s/n,,Asa Norte,70775-050,Brasília,DF,"-15.7385623198798,-47.8959703445435",False
82787,Rua Santa Catanarina,83,,Santa Catarina,18700-005,Avaré,SP,"-23.1026111,-48.923631",False
82788,Rua do Lago - Área Especial,1,,Brazlândia,72705-025,Brasília,DF,"-15.686282329030274,-48.19768667221069",False
82789,Avenida Professor Alfredo Balena,190,Sala 108 - 1º andar,Santa Efigênia,30130-100,Belo Horizonte,MG,"-19.9248855,-43.928959",False
82790,Praça Virgílio da Silva Rezende,s/n,,Centro,35338-000,Ubaporanga,MG,"-19.6319307,-42.1089217",False
82791,Avenida Afonso Pena,1537,,Centro,30330-002,Belo Horizonte,MG,"-19.928107,-43.932862",False
82792,"QN 17, Conjuntos 1/2",1,,Riacho Fundo II,71881-686,Brasília,DF,"-15.7942287,-47.8821658",False
82793,Rua José Luis Hoffmann,s/n,,Centro,88180000,Antônio Carlos (Santa Catarina),SC,"-27.5178524,-48.7684454",False
82794,Palacete Provincial - Praça Heliodoro Balbi,s/n,,Centro,69005-260,Manaus,AM,"-3.1355,-60.021044",False
82795,Rua Coronel Rennó,7,,Centro,37500-015,Itajubá,MG,"-22.4140689,-45.4507529",False
82796,Rua Primeiro de Março,36,Térreo,Centro,20010-000,Rio de Janeiro,RJ,"-22.902293,-43.175881",False
82797,15 de Novembro,562,,Bairro das Graças,58175000,Cuité,PB,"-6.48399233112382,-36.1503624916077",False
82798,Rua da Estrela,82,,Centro,65010-680,São Luís,MA,"-2.5283938,-44.3055275",False
82799,Avenida Doutor Didio Boscardin Bello,977,,Centro,87250-000,Peabiru,PR,"-23.913995,-52.34475570000001",False
82800,Rua Principal,375,,Araguaia - Centro,29258-000,Marechal Floriano,ES,"-20.4124134516047,-40.6746482849121",False
82801,Rua Hermann Weege,180,,Centro,89107-000,Pomerode,SC,"-26.741512,-49.172249",False
82802,Rua Doutor João Gonçalves Foz,2179,,Jardim das Rosas,19060050,Presidente Prudente,SP,"-22.1166462,-51.4115836",False
82803,Rua Vergueiro,1000,,Liberdade,01504-000,São Paulo,SP,"-23.5714751,-46.6402144",False
82804,Rua Jeremias Pereira,s/n,ao lado do calçadão espedito seleiro,Centro,63165-000,Nova Olinda (Ceará),CE,"-7.0887616,-39.6835766",False
82806,Avenida Orlando Carpinelli,440,Morro do Forte,Pontal,23970-000,Paraty,RJ,"-23.2118668298307,-44.7115968167782",False
82807,Rua Tiradentes,410,,Centro,17250-000,Bariri,SP,"-22.0742539,-48.739075",False
82808,Praça Castro Carreira,s/n,Estação Ferroviária Professor João Felipe / Praça Castro Carreia ou Praça da Estação,Centro,60030-020,Fortaleza,CE,"-3.7282111,-38.5157086",False
82810,Rua Ricardo Pasolini,246,Galeria Cultural Virginia Tamanini,Centro,29650-000,Santa Teresa,ES,"-19.9345224803598,-40.6008553504944",False
82811,Rua Afonso Cavalcante,275,,Cidade Nova,20211-110,Rio de Janeiro,RJ,"-22.9098414,-43.2015747",False
82812,Avenida Rio Branco,s/n,,Centro,45200-011,Jequié,BA,"-13.8589481,-40.0833093",False
